ISBN|DNBID|DNBURI|OCLC|GND|DDC|TOC|AUTHORID|SACHGRUPPEN
9783862344574|['1052090915']|['http://d-nb.info/1052090915']|['(OColc)882501114']|['4599834-6', '4177169-2', '4035420-9', '4133734-7', '4015490-7']|['362.8286']|[]|['136116655']|['360 Soziale Probleme, Sozialdienste, Versicherungen']

9783899713275|['980642094']|['http://d-nb.info/980642094']|['(OColc)180939405']|['4015701-5', '4025453-7', '4200793-8']|['940.1']|['980642094/04']|[]|['940 Geschichte Europas']

100190964X|['100190964X']|['http://d-nb.info/100190964X']|['(OColc)614451687']|['4011882-4', '4155441-3']|['327.1720943']|[]|[]|['320 Politik']

9783899714593|['987353829']|['http://d-nb.info/987353829']|['(OColc)227334907']|['4053460-1', '4036824-5', '4026745-3']|['153.8']|['987353829/04']|['129629979']|['150 Psychologie']

9783862349111|['1052124844']|['http://d-nb.info/1052124844']|['(OColc)882503035']|['4193689-9', '4071769-0']|['947.210842']|[]|['102663587X']|['940 Geschichte Europas']

9783862340729|['1052091172']|['http://d-nb.info/1052091172']|['(OColc)882501085']|['4011882-4', '4130688-0']|['343.43092']|[]|[]|['340 Recht']

9783899713152|['979627257']|['http://d-nb.info/979627257']|['(OColc)255465153']|['118547798', '118572350']|[]|['979627257/04']|['131440705']|['100 Philosophie']

9783899713312|['980701457']|['http://d-nb.info/980701457']|['(OColc)723626906']|['4076778-4', '4060294-1', '4008017-1', '4006054-8']|[]|['980701457/04']|['13218589X']|['930 Alte Geschichte, Archäologie ; 390 Bräuche, Etikette, Folklore']

9783862340644|['1052112633']|['http://d-nb.info/1052112633']|['(OColc)882502092']|['118596969', '4139623-6']|['340.1109034']|[]|['139485856']|['340 Recht']

9783899718799|['1012421783']|['http://d-nb.info/1012421783']|['(OColc)808684589']|['4131753-1', '4042203-3', '4163368-4', '4063359-7', '4137830-1', '4009218-5', '4115712-6']|['343.4920721', '343.240721']|['1012421783/04']|['135561272']|['340 Recht']

9783899717051|['994758200']|['http://d-nb.info/994758200']|['(OColc)724161392']|['124429432', '7735299-3', '4033597-5', '4155053-5']|['305.26092']|['994758200/04']|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 340 Recht']

9783899714975|['989119661']|['http://d-nb.info/989119661']|['(OColc)614525501']|['119095076', '4122228-3', '4200793-8']|['843.914']|['989119661/04']|[]|['840 Französische Literatur']

9783899716504|['1004963718']|['http://d-nb.info/1004963718']|['(OColc)724744453']|['118615270', '118594893', '4300475-1', '4054404-7', '4135889-2', '4034864-7', '4225592-2']|['183.2']|['1004963718/04']|['1019338970']|['100 Philosophie']

9783862348572|['1052091121']|['http://d-nb.info/1052091121']|['(OColc)882501136']|['118559796', '4045791-6', '4203094-8', '4033114-3', '4020832-1', '4114382-6']|['172.42092']|[]|['1013055233']|['100 Philosophie ; 300 Sozialwissenschaften, Soziologie, Anthropologie ; 355 Militär']

9783899711813|['971684065']|['http://d-nb.info/971684065']|['(OColc)722828220']|['4076390-0', '4006020-2', '4033581-1']|[]|['971684065/04']|['129393096']|['940 Geschichte Europas ; 943 Geschichte Deutschlands']

9783899714876|['988961598']|['http://d-nb.info/988961598']|['(OColc)605306100']|['4035964-5', '4132370-1', '4124854-5', '4123655-5']|['809.933543']|['988961598/04']|[]|['800 Literatur, Rhetorik, Literaturwissenschaft']

9783862349470|['1052115101']|['http://d-nb.info/1052115101']|['(OColc)871542542']|['4131753-1', '4801271-3', '4125981-6', '4072350-1']|['343.24034']|[]|['1019221836']|['340 Recht']

9783899719178|['1028138261']|['http://d-nb.info/1028138261']|['(OColc)823229629']|['4011882-4', '4005406-8', '4022153-2', '4053458-3', '4020533-2', '4077347-4', '4041316-0', '4073091-8']|['907.12']|['1028138261/04']|['1028198353']|['900 Geschichte ; 370 Erziehung, Schul- und Bildungswesen']

9783899715200|['990829685']|['http://d-nb.info/990829685']|['(OColc)271647205']|['4014777-0', '4035964-5', '4209638-8', '4050491-8', '4035964-5', '4209638-8', '4014777-0']|['820.9007']|['990829685/04']|['136525504']|['820 Englische Literatur']

9783862349371|['1052120369']|['http://d-nb.info/1052120369']|['(OColc)882502864']|['4026140-2', '4027743-4', '4125698-0']|['297.27']|[]|[]|['290 Andere Religionen ; 300 Sozialwissenschaften, Soziologie, Anthropologie ; 100 Philosophie']

9783862348671|['1052091865']|['http://d-nb.info/1052091865']|['(OColc)882501255']|['4113615-9', '4035964-5', '4133284-2', '4203266-0', '4200793-8']|['840.93262']|[]|['1029620326']|['840 Französische Literatur']

9783899719079|['1014218543']|['http://d-nb.info/1014218543']|['(OColc)769016156']|['4011882-4', '4131753-1', '4181978-0', '4055856-3', '7574511-2', '4029788-3']|['344.4302', '344.2402']|['1014218543/04']|[]|['340 Recht']

9783899713596|['981897142']|['http://d-nb.info/981897142']|['(OColc)237210569']|['4133957-5', '4121685-4', '4133957-5', '4046514-7', '4048737-4']|['306.8709']|['981897142/04']|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899713459|['981978622']|['http://d-nb.info/981978622']|['(OColc)180972105']|['118530534', '4171323-0', '4338257-5', '118530534', '4242780-0', '4117178-0', '118530534', '4274079-4', '4207508-7']|['831.914']|['981978622/04']|['132390876']|['830 Deutsche Literatur']

9783899717198|['994239270']|['http://d-nb.info/994239270']|['(OColc)521501516']|['116056908']|['780.92']|['994239270/04']|['140072977']|['780 Musik']

9783862349272|['1052123805']|['http://d-nb.info/1052123805']|['(OColc)882502931']|['4011882-4', '4833805-9', '4152104-3']|['378.1']|[]|[]|['370 Erziehung, Schul- und Bildungswesen']

9783862349685|['1052123503']|['http://d-nb.info/1052123503']|['(OColc)882502881']|['4014777-0', '4012899-4', '4169235-4']|['822.40936']|[]|['1023343797']|['820 Englische Literatur']

9783899713794|['983816905']|['http://d-nb.info/983816905']|['(OColc)244077856']|['4011882-4', '4026596-1', '4051927-2', '4115712-6', '4009937-4']|['346.43048', '346.51048']|['983816905/04']|['133260658']|['340 Recht']

9783899718492|['1011016818']|['http://d-nb.info/1011016818']|['(OColc)725097319']|['118889664', '4050479-7', '4001671-7', '4156971-4', '4742434-5', '4113748-6', '4639552-0']|['813.54']|['1011016818/04']|['1017381348']|['810 Englische Literatur Amerikas']

9783899712803|['977147398']|['http://d-nb.info/977147398']|['(OColc)181500735']|['4011882-4', '4121812-7', '4181797-7']|[]|[]|['130859958']|['340 Recht']

9783899718997|['1013649656']|['http://d-nb.info/1013649656']|['(OColc)759464175']|['4014777-0', '4036774-5', '4130895-5', '4124854-5', '4195138-4']|['821.020923']|['1013649656/04']|['1015933270']|['820 Englische Literatur']

9783899718850|['1012310949']|['http://d-nb.info/1012310949']|['(OColc)753387577']|['4217350-4', '4132165-0', '4062962-4']|['363.12520846']|['1012310949/04']|[]|['360 Soziale Probleme, Sozialdienste, Versicherungen ; 380 Handel, Kommunikation, Verkehr ; 150 Psychologie']

9783862348848|['1052119557']|['http://d-nb.info/1052119557']|['(OColc)882502705']|['4015701-5', '4025453-7', '4032081-9']|['940.12']|[]|[]|['940 Geschichte Europas']

9783899711257|['968065317']|['http://d-nb.info/968065317']|['(OColc)237828871']|['4010074-1', '4010141-1', '118546058', '4351623-3', '4049716-1', '4032370-5', '4010141-1', '4161139-1']|[]|[]|[]|['230 Theologie, Christentum ; 200 Religion, Religionsphilosophie']

9783899717457|['1051398762']|['http://d-nb.info/1051398762']|['(OColc)881095240']|[]|[]|[]|[]|['400 Sprache, Linguistik']

9783899716948|['995794316']|['http://d-nb.info/995794316']|['(OColc)624473971']|['7648121-9']|['001.2']|['995794316/04']|[]|['000 Allgemeines, Wissenschaft']

9783899718287|['1009692992']|['http://d-nb.info/1009692992']|['(OColc)724853128']|['4039687-3', '4035964-5', '4039687-3', '4035964-5', '4049716-1']|['830.0002']|['1009692992/04']|[]|['830 Deutsche Literatur']

9783899714371|['98627545X']|['http://d-nb.info/98627545X']|['(OColc)277042933']|['4011882-4', '4079163-4', '4138921-9', '4112646-4', '4078704-7', '4078704-7', '4003846-4', '4129611-4', '4011893-9', '4012475-7']|['327.73043', '940.310973']|['98627545X/04']|['134122925']|['320 Politik ; 940 Geschichte Europas']

9783899716139|['993078079']|['http://d-nb.info/993078079']|[]|[]|[]|[]|[]|['930 Alte Geschichte, Archäologie']

9783862341245|['1052123546']|['http://d-nb.info/1052123546']|['(OColc)882503019']|['4125245-7', '4183979-1', '4075159-4', '4049716-1', '4132307-5', '4045671-7', '4184495-6', '4047689-3', '4049418-4']|['222.110019']|[]|['1021854808']|['220 Bibel ; 150 Psychologie ; 200 Religion, Religionsphilosophie']

9783899716573|['1005802793']|['http://d-nb.info/1005802793']|['(OColc)696037436']|['4011882-4', '4308416-3', '4423007-2', '4115449-6', '4006568-6', '4127996-7', '4062127-3', '4045245-1']|['346.430482']|['1005802793/04']|['142310867']|['340 Recht']

9783899713879|['983817669']|['http://d-nb.info/983817669']|['(OColc)723620294']|['4035964-5', '4072905-9', '7628620-4', '4071776-8']|['809.93353']|['983817669/04']|[]|['800 Literatur, Rhetorik, Literaturwissenschaft ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899714272|['986036803']|['http://d-nb.info/986036803']|['(OColc)297574806']|['4069435-5', '4177707-4']|['220.07']|['986036803/04']|['113973020']|['230 Theologie, Christentum ; 220 Bibel']

9783862341115|['1052091229']|['http://d-nb.info/1052091229']|['(OColc)882501149']|['4133012-2', '4058167-6']|['371.809435518']|[]|['142918385']|['370 Erziehung, Schul- und Bildungswesen']

9783899717228|['994626487']|['http://d-nb.info/994626487']|['(OColc)466119277']|['4113292-0', '4153665-4', '4311101-4', '4193441-6', '4124854-5']|['833.9209355']|['994626487/04']|['128989181']|['830 Deutsche Literatur']

9783899711387|['969809298']|['http://d-nb.info/969809298']|['(OColc)249645343']|['4065654-8', '4015602-3']|[]|['969809298/04']|[]|['100 Philosophie']

9783899714265|['986852759']|['http://d-nb.info/986852759']|['(OColc)254065712']|['4369901-7']|['615.3']|['986852759/04']|[]|['610 Medizin, Gesundheit ; 540 Chemie']

9783899711134|['967119014']|['http://d-nb.info/967119014']|['(OColc)248867527']|['4131753-1', '4128080-5', '4075739-0', '4002623-1', '4120730-0']|[]|[]|[]|['14 Soziologie, Gesellschaft ; 18 Arbeit']

9783862341160|['1052091776']|['http://d-nb.info/1052091776']|['(OColc)882501244']|['4435768-0', '4028647-2', '4451290-9', '4049101-8', '4047487-2', '4020532-0']|['224.06', '231.76']|[]|['128495960']|['220 Bibel ; 230 Theologie, Christentum']

9783862341054|['1073820645']|['http://d-nb.info/1073820645']|[]|['4061874-2', '4049415-9']|[]|[]|['13918158X']|['200 Religion, Religionsphilosophie ; 100 Philosophie ; 230 Theologie, Christentum']

9783899714470|['986438022']|['http://d-nb.info/986438022']|['(OColc)314716826']|['4039687-3', '4035964-5', '4397368-1', '4071776-8']|['833.2093521']|['986438022/04']|['136943365']|['830 Deutsche Literatur']

9783899718973|['1013438841']|['http://d-nb.info/1013438841']|['(OColc)778452499']|['4011882-4', '4154353-1', '4128664-9', '4062127-3', '4074580-6', '4020564-2', '4045245-1']|['346.43048']|['1013438841/04']|['1015697178']|['340 Recht']

9783899716870|['993128955']|['http://d-nb.info/993128955']|[]|[]|[]|[]|[]|['370 Erziehung, Schul- und Bildungswesen ; 943 Geschichte Deutschlands']

9783862348404|['1052114199']|['http://d-nb.info/1052114199']|['(OColc)882502242']|['118577166', '4306270-2', '118577166', '4099301-2', '118577166', '4099300-0', '4259674-9']|['833.912']|[]|['1013902866']|['830 Deutsche Literatur']

9783899719635|['1019448148']|['http://d-nb.info/1019448148']|['(OColc)853272172']|['4129031-8', '4175288-0', '4024600-0', '4439379-9']|['782.32321284']|['1019448148/04']|['103583569X']|['780 Musik']

9783899713930|['984612092']|['http://d-nb.info/984612092']|['(OColc)180876645']|['4011882-4', '4017102-4', '4036081-7', '4130886-4', '4114026-6']|['346.43078']|['984612092/04']|['133121712']|['340 Recht']

9783899713725|['983259607']|['http://d-nb.info/983259607']|['(OColc)180735201']|['4277507-3', '4310204-9', '4196658-2']|['362.610683']|[]|['112640095']|['360 Soziale Probleme, Sozialdienste, Versicherungen ; 650 Management']

9783899716511|['993128599']|['http://d-nb.info/993128599']|[]|[]|[]|[]|[]|['340 Recht ; 330 Wirtschaft']

9783899716030|['1004069707']|['http://d-nb.info/1004069707']|['(OColc)682050692']|['4131753-1', '4014712-5', '4145576-9', '4152243-6']|['343.24092']|['1004069707/04']|[]|[]

9783899718720|['1025057694']|['http://d-nb.info/1025057694']|['(OColc)815888187']|['4040802-4', '4046514-7']|['780.032']|['1025057694/04']|[]|['780 Musik ; 320 Politik']

9783899718645|['1011004194']|['http://d-nb.info/1011004194']|['(OColc)748702816']|['4011882-4', '4843101-1', '4020486-8', '4226413-3', '4021127-7']|['346.430668']|['1011004194/04']|['101389846X']|['340 Recht']

9783899717952|['1010824465']|['http://d-nb.info/1010824465']|['(OColc)725065530']|['4015701-5', '4061163-2', '4077349-8', '4127240-7', '4033569-0', '4207539-7', '4035964-5', '4133370-6']|['303.48240561', '809.9332561']|['1010824465/04']|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 800 Literatur, Rhetorik, Literaturwissenschaft ; 940 Geschichte Europas']

