ISBN|DNBID|DNBURI|OCLC|GND|DDC|TOC|AUTHORID|SACHGRUPPEN

9783899719703|['1019733489']|['http://d-nb.info/1019733489']|['(OColc)800593052']|['4089993-7', '4024800-8']|['345.43597028809032']|['1019733489/04']|['135825571']|['340 Recht']

9783899713077|['979497191']|['http://d-nb.info/979497191']|['(OColc)181564096']|['4011890-3', '4025098-2', '4073274-5']|[]|['979497191/04']|['131465694']|['943 Geschichte Deutschlands ; 900 Geschichte']

9783899718669|['1011017121']|['http://d-nb.info/1011017121']|['(OColc)725097879']|['4047719-8', '4117665-0']|['152.301']|['1011017121/04']|['1012197662']|['150 Psychologie ; 100 Philosophie']

9783899715248|['99051935X']|['http://d-nb.info/99051935X']|['(OColc)271645961']|['4195005-7']|['253.071']|['99051935X/04']|[]|['230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

9783899717013|['993612644']|['http://d-nb.info/993612644']|['(OColc)472478635']|['4193126-9', '4193126-9', '4025243-7']|['230.07340943551809045']|['993612644/04']|['107345161']|['230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

9783899711264|['968445683']|['http://d-nb.info/968445683']|['(OColc)248795676']|['4011882-4', '4151434-8', '4016397-0', '4000911-7', '4114328-0', '4011882-4', '4151434-8', '4016397-0', '4140725-8', '4013943-8', '4114328-0', '4011882-4', '4151434-8', '4016397-0', '4187441-9', '4013943-8', '4114328-0', '4011882-4', '4151434-8', '4016397-0', '4018202-2', '4069349-1', '4013943-8', '4011882-4', '4151434-8', '4016397-0', '4020548-4', '4114328-0']|[]|[]|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899715682|['992824400']|['http://d-nb.info/992824400']|['(OColc)669172574']|['2024703-5', '4019838-8', '4041316-0']|['378.4361309043']|['992824400/04']|[]|['370 Erziehung, Schul- und Bildungswesen ; 940 Geschichte Europas']

9783899717594|['99857936X']|['http://d-nb.info/99857936X']|['(OColc)699846660']|['4210078-1', '4128972-9', '4117665-0']|['001.01']|['99857936X/04']|[]|['000 Allgemeines, Wissenschaft ; 100 Philosophie']

9783899711028|['966264304']|['http://d-nb.info/966264304']|['(OColc)722941534']|['4011882-4', '4263077-0', '4003749-6', '4136795-9', '4011882-4', '4263077-0', '4003749-6', '4033569-0']|[]|['966264304/04']|['124609724']|['14 Soziologie, Gesellschaft ; 22 Erziehung, Bildung, Unterricht ; 01 Wissenschaft und Kultur allgemein']

9783899715354|['990828891']|['http://d-nb.info/990828891']|['(OColc)299151852']|['4077811-3', '4033597-5']|['306.091732']|['990828891/04']|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 940 Geschichte Europas']

9783862340620|['1073820521']|['http://d-nb.info/1073820521']|[]|['4123514-9']|['220.9505083']|[]|[]|['220 Bibel ; 230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

9783862340705|['1052092020']|['http://d-nb.info/1052092020']|['(OColc)882501220']|['7648121-9']|['001.2']|[]|[]|['000 Allgemeines, Wissenschaft']

9783862340354|['1052046517']|['http://d-nb.info/1052046517']|['(OColc)882496177']|['4010074-1', '4065352-3', '4075159-4', '4021391-2', '4172831-2', '4128976-6', '4032374-2', '4010141-1']|['270.2']|[]|['185980961']|['230 Theologie, Christentum']

9783899717716|['1001215311']|['http://d-nb.info/1001215311']|['(OColc)612310713']|['4388353-9', '4035964-5']|['809.93353']|['1001215311/04']|[]|['800 Literatur, Rhetorik, Literaturwissenschaft']

9783862340811|['1052113192']|['http://d-nb.info/1052113192']|['(OColc)843479740']|['4138660-7', '4116648-6', '4059549-3', '4308416-3']|['378.1621']|[]|[]|['370 Erziehung, Schul- und Bildungswesen']

9783899719482|['1022662430']|['http://d-nb.info/1022662430']|['(OColc)812182250']|['118677888', '118544209', '4122399-8', '4149032-0', '4316989-2']|['149.092']|['1022662430/04']|['1018810889']|['100 Philosophie ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

9783862341122|['1052119506']|['http://d-nb.info/1052119506']|['(OColc)882502704']|['100091105', '4204763-8', '4077211-1', '4126892-1']|['373.24209435654']|[]|[]|['370 Erziehung, Schul- und Bildungswesen ; 943 Geschichte Deutschlands']

9783899711493|['969809255']|['http://d-nb.info/969809255']|['(OColc)249645734']|['118626590', '118674013', '118860143']|[]|['969809255/04']|['124525628']|['750 Malerei']

9783862349357|['1052115047']|['http://d-nb.info/1052115047']|['(OColc)816330158']|['4131753-1', '4011882-4', '4506931-1', '4233427-5']|['346.430482']|[]|['105449563']|['340 Recht']

9783862349128|['1052119999']|['http://d-nb.info/1052119999']|['(OColc)882502803']|['4020216-1']|[]|[]|[]|[]

9783899711523|['970424612']|['http://d-nb.info/970424612']|['(OColc)237864610']|['4064689-0', '4058716-2', '4010074-1', '4064689-0', '4058716-2', '4059150-5', '4001451-4', '4064689-0', '4058716-2', '4049396-9', '4093976-5', '4064689-0', '4058716-2', '4049396-9', '4076778-4', '4064689-0', '4058716-2', '4049396-9', '4129954-1', '4064689-0', '4058716-2']|[]|['970424612/04']|['129108502']|['230 Theologie, Christentum ; 290 Andere Religionen']

9783862348749|['105212206X']|['http://d-nb.info/105212206X']|['(OColc)816368612']|['121401030']|['831.914']|[]|[]|['830 Deutsche Literatur']

9783899718072|['1008236926']|['http://d-nb.info/1008236926']|['(OColc)724607670']|['4076899-5', '4050939-4', '4053881-3', '4027328-3', '4055762-5', '4076899-5', '4050939-4', '4053881-3', '4055695-5', '4360006-2', '4018480-8']|['324.17409409041']|['1008236926/04']|['137715978']|['320 Politik ; 940 Geschichte Europas']

9783899713848|['983818711']|['http://d-nb.info/983818711']|['(OColc)222254427']|['4022153-2', '4631324-2', '4063351-2', '4048835-4']|['342.42066']|[]|['133515907']|['340 Recht']

9783899718133|['1010097288']|['http://d-nb.info/1010097288']|['(OColc)724940197']|['4123514-9', '4069994-8', '4055179-9']|['220.9505083']|['1010097288/04']|[]|['220 Bibel ; 230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

9783899716016|['1004111487']|['http://d-nb.info/1004111487']|['(OColc)703884281']|['118515799', '4030736-0', '4049716-1']|['781.712']|['1004111487/04']|['133229238']|['780 Musik ; 230 Theologie, Christentum']

9783899714548|['987214004']|['http://d-nb.info/987214004']|['(OColc)271636461']|['4011882-4', '4121368-3', '4218779-5', '4142759-2', '4016247-3', '4061728-2']|['346.4308217522']|['987214004/04']|['13415794X']|['340 Recht ; 330 Wirtschaft']

9783862340996|['1052112935']|['http://d-nb.info/1052112935']|['(OColc)882502108']|['4011882-4', '4018145-5', '4134488-1', '4152580-2']|['346.0482', '346.430482']|[]|['141376635']|['340 Recht']

9783899717907|['999572873']|['http://d-nb.info/999572873']|['(OColc)614480779']|['118591843', '4056449-6', '4015286-8', '4064314-1', '4045798-9', '4128972-9']|[]|['999572873/04']|['141200308']|['100 Philosophie']

9783899715101|['990049175']|['http://d-nb.info/990049175']|['(OColc)298551298']|['4011750-9', '4170174-4', '4130305-2', '4214540-5', '4043152-6', '4049688-0']|['943.0740922']|['990049175/04']|['10729737X']|['943 Geschichte Deutschlands']

9783899718676|['1011313952']|['http://d-nb.info/1011313952']|['(OColc)725179263']|['4113615-9', '4035964-5', '4133284-2', '4203266-0', '4200793-8']|['840.93262']|['1011313952/04']|['1029620326']|['840 Französische Literatur']

9783862349906|['1052124798']|['http://d-nb.info/1052124798']|['(OColc)882503129']|['4043271-3', '4217804-6']|['943.60522']|[]|['129842435']|['940 Geschichte Europas']

1002775612|['1002775612']|['http://d-nb.info/1002775612']|['(OColc)643541534']|[]|[]|['1002775612/04']|[]|[]

9783899715743|['993367321']|['http://d-nb.info/993367321']|['(OColc)499071004']|['122340469', '4629916-6']|['823.914']|['993367321/04']|['115848533']|['820 Englische Literatur']

9783862340019|['1052046916']|['http://d-nb.info/1052046916']|['(OColc)882496174']|['4011882-4', '4003920-1', '4042483-2', '4042483-2', '4013960-8', '4070334-4']|[]|[]|['122793382']|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 943 Geschichte Deutschlands ; 970 Geschichte Nordamerikas']

9783862340934|['1052114024']|['http://d-nb.info/1052114024']|['(OColc)882502214']|['4162051-3', '4017894-8', '4120509-1']|['304.82072']|[]|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783862340095|['105361778X']|['http://d-nb.info/105361778X']|['(OColc)885829562']|['118626590', '118674013', '118860143']|[]|[]|['124525628']|['750 Malerei']

9783899719192|['1016712316']|['http://d-nb.info/1016712316']|['(OColc)773363428']|['4005044-0', '4529955-9', '4028921-7']|['618.9289433']|['1016712316/04']|[]|['610 Medizin, Gesundheit ; 150 Psychologie']

9783862341153|['1052090990']|['http://d-nb.info/1052090990']|['(OColc)852515421']|['118544489', '300064128']|['782.48']|[]|[]|['780 Musik']

100190950X|['100190950X']|['http://d-nb.info/100190950X']|['(OColc)614451674']|['4155435-8']|['327.17072']|[]|[]|['320 Politik']

9783899715361|['991094484']|['http://d-nb.info/991094484']|['(OColc)403857848']|['4006977-1', '4031516-2', '4174265-5', '4103214-7', '4031516-2', '4174265-5', '4029606-4', '4031516-2', '4174265-5', '4024313-8', '4006977-1', '4024313-8', '4103214-7', '4024313-8', '4029606-4']|['939.2']|['991094484/04']|['133377350']|['930 Alte Geschichte, Archäologie']

9783899715064|['989585697']|['http://d-nb.info/989585697']|['(OColc)612320523']|['118596969', '4139623-6']|['340.1109034']|['989585697/04']|['139485856']|['340 Recht']

9783899715330|['990962466']|['http://d-nb.info/990962466']|['(OColc)297542163']|['4000695-5', '4020531-9', '4200793-8']|['907.2', '960.31']|['990962466/04']|[]|['900 Geschichte ; 960 Geschichte Afrikas']

9783899713367|['980841135']|['http://d-nb.info/980841135']|['(OColc)180943204']|['4159930-5', '4031630-0', '4114528-8']|[]|[]|['106152661']|['150 Psychologie']

9783899716627|['99312867X']|['http://d-nb.info/99312867X']|[]|[]|[]|[]|[]|['791 Öffentliche Darbietungen, Film, Rundfunk ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

9783862340491|['105204770X']|['http://d-nb.info/105204770X']|['(OColc)882496242']|['4011882-4', '4114041-2', '4145176-4', '4068999-2', '4078704-7']|['347.4306', '347.7306']|[]|['133976432']|['340 Recht']

9783899719901|['1021194611']|['http://d-nb.info/1021194611']|['(OColc)809371419']|['4043271-3', '4217804-6']|['943.60522']|['1021194611/04']|['129842435']|['940 Geschichte Europas']

9783862349517|['1052115160']|['http://d-nb.info/1052115160']|['(OColc)882502301']|['118595164', '4053125-9', '4022600-1', '4000626-8', '4015602-3']|['186.4']|[]|['1020089695']|['100 Philosophie']

9783899711431|['969794037']|['http://d-nb.info/969794037']|['(OColc)723176893']|['118577166', '4099299-8', '4117245-0', '118577166', '4099303-6', '4117245-0', '118577166', '4099301-2', '4117245-0']|[]|['969794037/04']|['128949163']|['830 Deutsche Literatur']

9783862340248|['1052046681']|['http://d-nb.info/1052046681']|['(OColc)882496164']|['4011882-4', '4136841-1', '4018337-3']|[]|[]|['1052059899']|['230 Theologie, Christentum']

9783899714494|['986879436']|['http://d-nb.info/986879436']|['(OColc)244078891']|[]|[]|[]|['131751557']|['370 Erziehung, Schul- und Bildungswesen']

9783862340415|['1052046568']|['http://d-nb.info/1052046568']|['(OColc)882496171']|['4012046-6', '4055760-1', '4721684-0', '4049412-3', '4137002-8', '4177707-4', '4049422-6']|['261.832071']|[]|['131987801']|['230 Theologie, Christentum ; 360 Soziale Probleme, Sozialdienste, Versicherungen ; 370 Erziehung, Schul- und Bildungswesen']

9783899715644|['99286903X']|['http://d-nb.info/99286903X']|['(OColc)488664279']|['4011882-4', '4020535-6', '4200793-8', '4120448-7', '4043271-3', '4020535-6', '4200793-8', '4120448-7', '4053881-3', '4020535-6', '4200793-8', '4120448-7']|['907.2043', '907.20436', '907.20494']|['99286903X/04']|['138985588']|['900 Geschichte']

9783899711288|['968476945']|['http://d-nb.info/968476945']|['(OColc)723135769']|['4050306-9', '4156807-2']|[]|['968476945/04']|['110691644']|['340 Recht']

9783899715286|['990601471']|['http://d-nb.info/990601471']|['(OColc)299151555']|['4011882-4', '4192352-2', '4026722-2', '4011882-4', '4049396-9', '4129611-4', '4026722-2', '4011882-4', '4049396-9', '4071776-8', '4026722-2', '4011882-4', '4049396-9', '4077575-6', '4026722-2']|['200.943', '200.954']|['990601471/04']|[]|[]

9783899717709|['1000062198']|['http://d-nb.info/1000062198']|['(OColc)688601767']|['4007955-7', '4168912-4', '4018480-8', '4005248-5', '4063270-2', '4222517-6', '4137632-8', '7725244-5']|['943.15028']|['1000062198/04']|['142399604']|['943 Geschichte Deutschlands ; 340 Recht']

9783899719390|['1017310092']|['http://d-nb.info/1017310092']|['(OColc)797180119']|['118514776', '118703951', '118612743', '4018480-8', '4079583-4', '2016052-5', '4076232-4', '4173410-5', '4011882-4', '4031892-8', '4027249-7']|['324.24307508631']|['1017310092/04']|['1023069172']|['320 Politik ; 943 Geschichte Deutschlands']

9783899716979|['993612679']|['http://d-nb.info/993612679']|['(OColc)429667508']|['7667122-7']|['341.48']|['993612679/04']|[]|['340 Recht ; 610 Medizin, Gesundheit']

9783899718119|['101009730X']|['http://d-nb.info/101009730X']|['(OColc)706857856']|['4113292-0', '4035964-5', '4169187-8', '4136410-7']|['830.93581']|['101009730X/04']|[]|['830 Deutsche Literatur']

9783899716535|['993128610']|['http://d-nb.info/993128610']|[]|[]|[]|[]|[]|['900 Geschichte ; 370 Erziehung, Schul- und Bildungswesen']

9783899714166|['985288760']|['http://d-nb.info/985288760']|['(OColc)227006452']|['4064689-0', '4048561-4', '4033597-5', '4064689-0', '4048561-4', '4618915-4', '4064689-0', '4125698-0', '4189169-7', '4035964-5', '4189169-7', '4114333-4']|[]|['985288760/04']|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783862340200|['1052047009']|['http://d-nb.info/1052047009']|['(OColc)882496166']|['121380742', '4002449-0']|[]|[]|['124455611']|['230 Theologie, Christentum']

9783899719413|['1019822678']|['http://d-nb.info/1019822678']|['(OColc)786269221']|['4015701-5', '4049396-9', '4020588-5', '4048737-4']|['201.7094']|['1019822678/04']|[]|['200 Religion, Religionsphilosophie ; 300 Sozialwissenschaften, Soziologie, Anthropologie ; 340 Recht']

9783899712612|['976498065']|['http://d-nb.info/976498065']|['(OColc)181481890']|['4043912-4', '4116568-8', '4043912-4', '4197572-8', '2009545-4', '4172861-0', '4026140-2', '4159706-0']|[]|['976498065/04']|['120645734']|['230 Theologie, Christentum']

9783899717846|['1000208648']|['http://d-nb.info/1000208648']|['(OColc)612323522']|['4011882-4', '4214704-9']|['610.73']|['1000208648/04']|[]|['610 Medizin, Gesundheit ; 360 Soziale Probleme, Sozialdienste, Versicherungen']

9783899714425|['986382558']|['http://d-nb.info/986382558']|['(OColc)530225266']|[]|[]|['986382558/04']|[]|['780 Musik']

9783899712261|['974097330']|['http://d-nb.info/974097330']|['(OColc)723347877']|['4011882-4', '4196910-8', '4062127-3', '4027278-3']|[]|['974097330/04']|['130021121']|['340 Recht']

9783899719550|['1018012338']|['http://d-nb.info/1018012338']|['(OColc)826901491']|['117154202', '1030250936', '118540238', '4099208-1', '4112763-8', '4079320-5']|['833.6093557']|['1018012338/04']|['1026109779']|['830 Deutsche Literatur']

9783899711370|['969202571']|['http://d-nb.info/969202571']|['(OColc)722896383']|['4042203-3', '4198721-4', '4046540-8', '4077258-5', '4029456-0']|[]|[]|['111352355']|['320 Politik']

9783899713572|['982272979']|['http://d-nb.info/982272979']|['(OColc)723622913']|['2086861-3', '4113908-2', '2086861-3', '4024800-8']|['943.595204', '345.435952028809032']|['982272979/04']|['132754517']|['943 Geschichte Deutschlands ; 340 Recht ; 230 Theologie, Christentum']

9783899716160|['1052145426']|['http://d-nb.info/1052145426']|['(OColc)882504557']|['118584596', '118750909']|['780.92']|[]|[]|['780 Musik']

9783899711486|['969794010']|['http://d-nb.info/969794010']|['(OColc)184991642']|['11865117', '4048822-6']|[]|[]|['106243799']|['340 Recht']

9783899719994|['1021677388']|['http://d-nb.info/1021677388']|['(OColc)859017491']|['4036394-6', '4055656-6', '4031790-0', '4332482-4', '4020754-7', '4038270-9', '4136584-7']|['610.976309033', '610.975709033']|['1021677388/04']|['139304177']|['610 Medizin, Gesundheit ; 360 Soziale Probleme, Sozialdienste, Versicherungen ; 320 Politik']

9783862340675|['1073820572']|['http://d-nb.info/1073820572']|[]|['4035964-5', '4200793-8', '4020526-5', '4204275-6']|['809.933582']|[]|[]|['800 Literatur, Rhetorik, Literaturwissenschaft ; 700 Künste, Bildende Kunst allgemein ; 900 Geschichte']

9783899711936|['972208380']|['http://d-nb.info/972208380']|['(OColc)723201301']|['4011882-4', '4020871-0', '4013954-2', '4115712-6']|[]|['972208380/04']|['129452971']|['340 Recht']

9783899717853|['999021400']|['http://d-nb.info/999021400']|['(OColc)695567430']|['4131753-1', '4619834-9', '4038654-5']|['342.24085']|['999021400/04']|['14081860X']|['340 Recht']

9783899716085|['993078273']|['http://d-nb.info/993078273']|[]|[]|[]|[]|[]|['370 Erziehung, Schul- und Bildungswesen']

9783862340460|['1052046401']|['http://d-nb.info/1052046401']|['(OColc)882496099']|['4131753-1', '4014712-5', '4065835-1', '7839944-0', '4152243-6']|['343.24092']|[]|[]|['340 Recht']

9783899715835|['993078036']|['http://d-nb.info/993078036']|[]|[]|[]|[]|[]|['320 Politik']

9783899712889|['977934322']|['http://d-nb.info/977934322']|['(OColc)181530537']|['118622692', '4059758-1']|[]|['977934322/04']|['131440802']|['230 Theologie, Christentum']

9783899717693|['997752211']|['http://d-nb.info/997752211']|['(OColc)560415574']|['4113292-0', '4050479-7', '4164710-5', '4133137-0', '4113292-0', '4076645-7', '4133133-3', '4073624-6', '4011882-4', '4017102-4', '4133137-0']|['833.0093581']|['997752211/04']|['115253092']|['830 Deutsche Literatur ; 791 Öffentliche Darbietungen, Film, Rundfunk']

9783899712155|['973645261']|['http://d-nb.info/973645261']|['(OColc)723180263']|['4011882-4', '4187743-3', '4115712-6', '4022153-2', '4131753-1', '4636637-4']|[]|['973645261/04']|['129936596']|['340 Recht']

9783899718553|['1012421805']|['http://d-nb.info/1012421805']|['(OColc)734076220']|['4650615-9', '4039225-9']|['330.0712']|['1012421805/04']|['118014528']|['330 Wirtschaft']

9783862340170|['1052047653']|['http://d-nb.info/1052047653']|['(OColc)882496211']|['4015701-5', '4077587-2', '4077570-7', '4013960-8', '4212404-9']|[]|[]|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 320 Politik']

9783899716467|['1004899009']|['http://d-nb.info/1004899009']|['(OColc)724706271']|['4028495-5', '4020531-9', '4026651-5', '4005248-5', '4114069-2', '4077723-6', '4066957-9']|['952.031014', '495.60141']|['1004899009/04']|['14383875X']|['950 Geschichte Asiens ; 490 Andere Sprachen']

9783899719277|['1016145926']|['http://d-nb.info/1016145926']|['(OColc)809369879']|['4011882-4', '4833805-9', '4152104-3']|['378.1']|['1016145926/04']|[]|['370 Erziehung, Schul- und Bildungswesen']

9783899713602|['982272456']|['http://d-nb.info/982272456']|['(OColc)184999592']|['4011882-4', '7543456-8', '4116364-3']|['346.43048']|['982272456/04']|['132519976']|['340 Recht']

9783899717549|['996598693']|['http://d-nb.info/996598693']|['(OColc)658339291']|['118799002', '4193433-7', '4185650-8', '4074704-9']|['831.2']|['996598693/04']|['110827112']|['830 Deutsche Literatur']

9783899712988|['978701674']|['http://d-nb.info/978701674']|['(OColc)181548168']|['4011882-4', '4225768-2', '4055754-6', '4410380-3', '4123981-7', '4032386-9', '4011882-4', '4056730-8', '4055754-6', '4410380-3', '4450741-0', '4309013-8']|[]|['978701674/04']|['13155767X']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899718416|['1010740636']|['http://d-nb.info/1010740636']|['(OColc)725046628']|['4011882-4', '4196731-8', '4117640-6', '4117338-7']|['343.43072']|['1010740636/04']|['1013106385']|['340 Recht']

9783899711035|['96651873X']|['http://d-nb.info/96651873X']|['(OColc)723022334']|['4018225-3', '4018202-2', '4135889-2']|[]|['96651873X/04']|[]|['33 Medizin']

9783899712926|['978081935']|['http://d-nb.info/978081935']|['(OColc)181534860']|['4011882-4', '4188164-3', '4026596-1', '4115712-6', '4053881-3', '4043271-3']|[]|[]|['13143571X']|['340 Recht']

9783899714708|['98815904X']|['http://d-nb.info/98815904X']|['(OColc)299144412']|['4059664-3', '4058812-9']|['401.41']|['98815904X/04']|[]|['400 Sprache, Linguistik']

9783899716191|['993078192']|['http://d-nb.info/993078192']|[]|[]|[]|[]|[]|[]

9783899718362|['1010500562']|['http://d-nb.info/1010500562']|['(OColc)725003793']|['39272-8', '4211800-1', '35495-8', '4041421-8', '4660420-0']|['507.2']|['1010500562/04']|['1015684165']|['500 Naturwissenschaften']

9783899713756|['983090432']|['http://d-nb.info/983090432']|['(OColc)180732376']|['4076899-5', '4136010-2', '4054780-2', '4344686-3', '4145419-4']|['947.07']|['983090432/04']|['1014803969']|['940 Geschichte Europas ; 950 Geschichte Asiens ; 910 Geografie, Reisen']

9783862340446|['1052047351']|['http://d-nb.info/1052047351']|['(OColc)882496229']|[]|[]|[]|[]|['340 Recht']

9783899714630|['987919873']|['http://d-nb.info/987919873']|['(OColc)254463773']|['4011882-4', '4034013-2', '4063353-6', '4063351-2']|['342.4306']|['987919873/04']|[]|['340 Recht']

9783862348923|['1052139736']|['http://d-nb.info/1052139736']|['(OColc)882504103']|['4113615-9', '4141983-2', '4049716-1', '4011882-4', '4137287-6', '4033569-0']|['034.102']|[]|[]|['030 Enzyklopädien ; 840 Französische Literatur']

9783862346790|['1052119786']|['http://d-nb.info/1052119786']|['(OColc)767949318']|['118607057', '4331051-5', '4200302-7', '118607057', '4000626-8', '4114333-4', '4041358-5']|[]|[]|[]|['100 Philosophie ; 700 Künste, Bildende Kunst allgemein']

9783899718201|['1009136410']|['http://d-nb.info/1009136410']|['(OColc)724775873']|['4113292-0', '4056475-7', '4056448-4', '4011975-0']|['430.71']|['1009136410/04']|[]|['430 Deutsch ; 370 Erziehung, Schul- und Bildungswesen']

9783862340521|['1052047025']|['http://d-nb.info/1052047025']|['(OColc)882496214']|['4015701-5', '4063351-2', '4115712-6']|['342.406']|[]|[]|['340 Recht']

9783899718164|['1008971472']|['http://d-nb.info/1008971472']|['(OColc)744774924']|['4078012-0', '4028495-5', '4020533-2', '4180102-7', '4006667-8', '4026486-5']|['371.320952', '371.320968']|['1008971472/04']|['101309123X']|['370 Erziehung, Schul- und Bildungswesen ; 900 Geschichte']

9783899716832|['1008290645']|['http://d-nb.info/1008290645']|['(OColc)703886704']|['4041158-8', '4252220-1', '4134678-6', '4128972-9', '4047689-3']|['303.66095694']|['1008290645/04']|['139829210']|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 320 Politik ; 150 Psychologie']

9783899714609|['987352679']|['http://d-nb.info/987352679']|['(OColc)229449538']|['4113292-0', '4003939-0', '4027808-6', '4071061-0', '4075594-0']|['838.914030995694']|['987352679/04']|['134236580']|['830 Deutsche Literatur']

9783899717167|['993956807']|['http://d-nb.info/993956807']|['(OColc)436276806']|['4011882-4', '4123592-7', '4167245-8', '4115712-6', '4014770-8', '4018145-5']|['346.4304344', '346.4204344', '346.4404344']|['993956807/04']|['139028374']|['340 Recht']

9783899719307|['101614590X']|['http://d-nb.info/101614590X']|['(OColc)797179242']|['4071432-9', '4010109-5', '4049428-7', '4031883-7']|['271.9000902']|['101614590X/04']|['14008424X']|['230 Theologie, Christentum ; 700 Künste, Bildende Kunst allgemein ; 943 Geschichte Deutschlands']

9783899712520|['976282852']|['http://d-nb.info/976282852']|['(OColc)181477248']|['4131753-1', '4128080-5', '4075739-0', '4050473-6', '4077575-6', '4131753-1', '4128080-5', '4075739-0', '4055133-7', '4077575-6']|[]|['976282852/04']|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899716344|['993128440']|['http://d-nb.info/993128440']|[]|[]|[]|[]|[]|['100 Philosophie ; 610 Medizin, Gesundheit ; 360 Soziale Probleme, Sozialdienste, Versicherungen']

9783862340767|['1052091253']|['http://d-nb.info/1052091253']|['(OColc)882501139']|['4011882-4', '4123592-7', '4167245-8', '4115712-6', '4014770-8', '4018145-5']|['346.4304344', '346.4204344', '346.4404344']|[]|['139028374']|['340 Recht']

9783899712490|['976041006']|['http://d-nb.info/976041006']|['(OColc)181473193']|['4011882-4', '4000937-3', '4032356-0', '4026923-1']|[]|['976041006/04']|['130410667']|['340 Recht']

9783899711899|['972208372']|['http://d-nb.info/972208372']|['(OColc)723201285']|['4008135-7', '4003743-5', '4000911-7', '4077570-7']|[]|[]|['112344402']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783899713565|['982272308']|['http://d-nb.info/982272308']|['(OColc)297555667']|['4008866-2', '4046540-8']|['302.609499', '949.9']|['982272308/04']|['133551083']|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 940 Geschichte Europas']

9783899717761|['999659804']|['http://d-nb.info/999659804']|['(OColc)696639179']|['4491986-4', '4015950-4', '4047632-7', '4145772-9', '4049386-6']|['223.206']|['999659804/04']|['143080407']|['220 Bibel']

9783862349289|['1052091660']|['http://d-nb.info/1052091660']|['(OColc)882501224']|['4011882-4', '4130886-4', '4165176-5', '4063381-0']|['346.430482']|[]|['1023631857']|['340 Recht']

9783899714067|['985031891']|['http://d-nb.info/985031891']|['(OColc)244625241']|['10351255-', '10351257-3']|['830.99431']|['985031891/04']|[]|['830 Deutsche Literatur']

9783899719864|['1020682825']|['http://d-nb.info/1020682825']|['(OColc)819499752']|['4014777-0', '4035964-5', '4050491-8', '4030960-5', '4051752-4']|['820.9006']|['1020682825/04']|['104381620']|['820 Englische Literatur']

9783899716269|['993128742']|['http://d-nb.info/993128742']|[]|[]|[]|[]|[]|['320 Politik ; 943 Geschichte Deutschlands']

9783862349166|['1052119948']|['http://d-nb.info/1052119948']|['(OColc)882502789']|['4015701-5', '133403025']|['940.28']|[]|[]|['940 Geschichte Europas']

9783899717020|['994758030']|['http://d-nb.info/994758030']|['(OColc)436297017']|['4011882-4', '4130688-0']|['343.43092']|['994758030/04']|[]|['340 Recht']

9783862340217|['1052128424']|['http://d-nb.info/1052128424']|[]|['118608045', '4445128-3', '4006650-2', '4005248-5', '118608045', '4845179-4', '118608045', '4445128-3', '4054404-7', '4177729-3', '118608045', '4845179-4', '118608045', '4049412-3']|[]|[]|['105412864']|['370 Erziehung, Schul- und Bildungswesen ; 230 Theologie, Christentum ; 100 Philosophie']

9783899719734|['1019858184']|['http://d-nb.info/1019858184']|['(OColc)833397978']|['4188476-0', '4069008-8', '4048792-1', '4114116-7', '4177259-3']|['341.1']|['1019858184/04']|['1025729137']|['340 Recht']

9783899716405|['993128505']|['http://d-nb.info/993128505']|[]|['4035964-5', '4132370-1', '4124854-5', '4123655-5']|['809.933543']|[]|[]|['820 Englische Literatur']

9783899714784|['988325535']|['http://d-nb.info/988325535']|['(OColc)723764168']|['7611361-9']|['658.3008']|['988325535/04']|[]|['650 Management']

9783862349463|['1052124836']|['http://d-nb.info/1052124836']|['(OColc)882503142']|['119386518', '4049716-1']|['780.902']|[]|['131781049']|['780 Musik']

9783899714869|['988961601']|['http://d-nb.info/988961601']|['(OColc)310128135']|['118593234', '4317742-6', '4399198-1', '4145195-8', '118593234', '4049716-1']|['851.1']|['988961601/04']|[]|['850 Italienische, rumänische, rätoromanische Literatur']

