ISBN|DNBID|DNBURI|OCLC|GND|DDC|TOC|AUTHORID|SACHGRUPPEN
9783825229153|['984395245']|['http://d-nb.info/984395245']|['(OColc)315672587']|['4038243-6', '4074672-0']|['610.9']|['984395245/04']|['124991556']|['610 Medizin, Gesundheit ; 100 Philosophie']

9783825232627|['994208510']|['http://d-nb.info/994208510']|['(OColc)466115158']|['118572350', '4045791-6']|[]|['994208510/04']|['122072472']|['100 Philosophie']

9783825226008|['971458642']|['http://d-nb.info/971458642']|['(OColc)249214064']|['4015875-5', '4185080-4']|[]|['971458642/04']|[]|['230 Theologie, Christentum ; 220 Bibel']

9783825244118|['1071103091']|['http://d-nb.info/1071103091']|['(OColc)910322564']|['4062115-7']|['270.1']|['1071103091/04']|['130378186']|[]

9783825231057|['988862905']|['http://d-nb.info/988862905']|['(OColc)723907914']|['4165119-4']|['306.309']|['988862905/04']|['131874659']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783825232603|['994208502']|['http://d-nb.info/994208502']|['(OColc)458745679']|['4009937-4', '4049396-9']|['200.931']|['994208502/04']|['139432426']|['200 Religion, Religionsphilosophie']

9783825235352|['1012038548']|['http://d-nb.info/1012038548']|['(OColc)740883372']|['4020535-6', '7595654-8', '4443917-9']|['907.2']|['1012038548/04']|['133896730']|['900 Geschichte']

9783825224820|['969689535']|['http://d-nb.info/969689535']|['(OColc)249237999']|['4011882-4', '4036020-9', '4036020-9']|[]|['969689535/04']|['124059996']|['830 Deutsche Literatur']

959312846|['959312846']|['http://d-nb.info/959312846']|['(OColc)247656503']|['4203806-6', '4075925-8', '4015875-5', '4054151-4', '4015833-0']|[]|['959312846/04']|['12117784X']|['12 Christliche Religion']

9783825238544|['1028259859']|['http://d-nb.info/1028259859']|['(OColc)846948386']|['4050164-4', '4178247-1', '4055916-6', '4124068-6', '4049426-3']|['203.8']|['1028259859/04']|[]|['390 Bräuche, Etikette, Folklore ; 300 Sozialwissenschaften, Soziologie, Anthropologie ; 200 Religion, Religionsphilosophie']

987904574|['987904574']|['http://d-nb.info/987904574']|['(OColc)254467820']|['4030720-7']|[]|['987904574/04']|['123037417']|['230 Theologie, Christentum ; 900 Geschichte']

9783825239398|['1034834215']|['http://d-nb.info/1034834215']|['(OColc)854345633']|['4020775-4', '4032844-2', '4020754-7', '4563270-4', '4138114-2']|[]|['1034834215/04']|['124041515']|['360 Soziale Probleme, Sozialdienste, Versicherungen']

9783825241254|['1044656379']|['http://d-nb.info/1044656379']|['(OColc)865137518']|['4074250-7']|[]|['1044656379/04']|['120598868']|['400 Sprache, Linguistik']

9783825234577|['1009108611']|['http://d-nb.info/1009108611']|['(OColc)704813826']|['4066596-3']|['808.02']|[]|['120791471']|['800 Literatur, Rhetorik, Literaturwissenschaft']

987310879|['987310879']|['http://d-nb.info/987310879']|['(OColc)254540218']|['4006406-2']|[]|['987310879/04']|['123142997']|['220 Bibel']

9783825236090|['1015008917']|['http://d-nb.info/1015008917']|['(OColc)756345338']|['4001515-4', '4001515-4', '4128644-3']|['221.6']|['1015008917/04']|['12345073X']|['220 Bibel']

9783825212537|['1037948785']|['http://d-nb.info/1037948785']|['(OColc)746280080']|['4041771-2', '4015950-4', '4038971-6']|['225.6']|[]|['130378186']|['220 Bibel']

9783825237431|['1022529331']|['http://d-nb.info/1022529331']|['(OColc)808721933']|['4205357-2', '4066571-9', '4121560-6']|['320.0711']|['1022529331/04']|['1025267664']|['320 Politik ; 370 Erziehung, Schul- und Bildungswesen']

9783825229382|['984417338']|['http://d-nb.info/984417338']|['(OColc)239332412']|['4011882-4', '4011152-0', '4048737-4']|['343.430999']|['984417338/04']|['123116333']|['340 Recht ; 004 Informatik']

988471604|['988471604']|['http://d-nb.info/988471604']|['(OColc)228139626']|['4041771-2', '4151352-6']|['225.61']|['988471604/04']|[]|['220 Bibel']

9783825241742|['1050613945']|['http://d-nb.info/1050613945']|['(OColc)879870288']|['4046563-9', '4138031-9']|['320.011']|['1050613945/04']|['132953390']|['320 Politik']

973537655|['973537655']|['http://d-nb.info/973537655']|['(OColc)76663186']|['4041771-2', '4151352-6']|[]|['973537655/04']|['130378186']|['220 Bibel']

9783825229221|['984416749']|['http://d-nb.info/984416749']|['(OColc)214400618']|['4343519-1', '4033569-0']|['658.4']|['984416749/04']|['110182634']|['650 Management']

9783825223847|['966099826']|['http://d-nb.info/966099826']|['(OColc)238519957']|['4169187-8']|[]|['966099826/04']|[]|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 070 Nachrichtenmedien, Journalismus, Verlagswesen']

985155728|['985155728']|['http://d-nb.info/985155728']|['(OColc)182758618']|['4001515-4', '4151352-6', '4001515-4', '4015950-4', '4038971-6', '4001515-4', '4128644-3', '4001515-4', '4059758-1']|['221.6']|['985155728/04']|[]|['220 Bibel']

9783825219994|['1037937376']|['http://d-nb.info/1037937376']|['(OColc)857990199']|['4037951-6']|['511.3']|[]|['12428566X']|['510 Mathematik ; 100 Philosophie']

9783825225285|['969700423']|['http://d-nb.info/969700423']|['(OColc)218838414']|['4049418-4']|[]|['969700423/04']|['122063120']|['200 Religion, Religionsphilosophie ; 150 Psychologie']

985155760|['985155760']|['http://d-nb.info/985155760']|['(OColc)230126596']|['4041771-2', '4151352-6']|['225.61']|['985155760/04']|['130378186']|['220 Bibel']

9783825233143|['999294652']|['http://d-nb.info/999294652']|['(OColc)588111307']|['4138031-9']|['121.409']|['999294652/04']|['111047048']|['100 Philosophie ; 000 Allgemeines, Wissenschaft']

9783825236274|['1018066136']|['http://d-nb.info/1018066136']|['(OColc)775677926']|['4036202-4', '4112589-7']|[]|['1018066136/04']|['1019338970']|['100 Philosophie ; 510 Mathematik']

9783825229160|['984396500']|['http://d-nb.info/984396500']|['(OColc)723701838']|['4027833-5']|['945.092']|['984396500/04']|['129172359']|['940 Geschichte Europas']

9783825237486|['1022529382']|['http://d-nb.info/1022529382']|['(OColc)813566186']|['4078249-9']|['241.044']|['1022529382/04']|['130438596']|['230 Theologie, Christentum ; 100 Philosophie']

9783825239367|['1034834258']|['http://d-nb.info/1034834258']|['(OColc)859373939']|['4117665-0']|['001.01']|['1034834258/04']|['1042517428']|['000 Allgemeines, Wissenschaft ; 100 Philosophie']

9783825238551|['1028259867']|['http://d-nb.info/1028259867']|['(OColc)836004335']|['4124995-1', '4129721-0']|['153.6']|['1028259867/04']|['133800245']|['150 Psychologie ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

964926865|['964926865']|['http://d-nb.info/964926865']|['(OColc)722897826']|['4114199-4']|[]|[]|['133463370']|['12 Christliche Religion ; 63 Geschichte und Historische Hilfswissenschaften']

9783825228866|['982453256']|['http://d-nb.info/982453256']|['(OColc)605934249']|['4114087-4']|[]|['982453256/04']|['119096730']|['290 Andere Religionen']

9783825234546|['1009108581']|['http://d-nb.info/1009108581']|['(OColc)704813824']|['4011882-4', '4066399-1', '4066493-4']|['338.943009034']|['1009108581/04']|['1011476126']|['330 Wirtschaft']

9783825237325|['1028364393']|['http://d-nb.info/1028364393']|['(OColc)823239392']|['4049396-9', '4049408-1']|[]|['1028364393/04']|['121071529']|['200 Religion, Religionsphilosophie']

9783825226176|['971529493']|['http://d-nb.info/971529493']|['(OColc)76565639']|['4011882-4', '4023249-9']|[]|['971529493/04']|[]|['340 Recht']

9783825240189|['1038863953']|['http://d-nb.info/1038863953']|['(OColc)862461382']|['4174284-9', '4066596-3']|['107.11']|['1038863953/04']|['122829700']|['100 Philosophie']

9783825239381|['1034834223']|['http://d-nb.info/1034834223']|['(OColc)859370462']|['4062843-7']|[]|['1034834223/04']|['120380722']|['800 Literatur, Rhetorik, Literaturwissenschaft']

9783825237400|['1022529307']|['http://d-nb.info/1022529307']|['(OColc)805356701']|['4020717-1', '4129492-0', '4053297-5', '4113292-0', '4131535-2', '4113292-0', '4048780-5', '4056483-6', '4113292-0', '4129492-0', '4056458-7']|['431.52']|['1022529307/04']|['112704832']|['430 Deutsch']

9783825239930|['1037949730']|['http://d-nb.info/1037949730']|['(OColc)857993542']|['4200234-5', '4343519-1']|['658.4012']|[]|['12441768X']|['650 Management']

9783825223939|['966186311']|['http://d-nb.info/966186311']|['(OColc)249452325']|['4010141-1']|[]|['966186311/04']|['119041057']|['230 Theologie, Christentum']

9783825240677|['1043700846']|['http://d-nb.info/1043700846']|['(OColc)864650031', '(OColc)867143259']|['4041771-2', '4015950-4', '4038971-6']|['225.6']|['1043700846/04']|['130378186']|['220 Bibel']

9783825232009|['991841654']|['http://d-nb.info/991841654']|['(OColc)318642419']|['4006406-2', '4059758-1', '4069435-5']|['220.07']|['991841654/04']|['120653184']|['220 Bibel']

9783825232658|['994208545']|['http://d-nb.info/994208545']|['(OColc)423906764']|['4124307-9', '4227742-5']|['410.18']|['994208545/04']|['134301757']|['400 Sprache, Linguistik']

9783825233976|['1002861713']|['http://d-nb.info/1002861713']|['(OColc)649506352']|['4125709-1', '4059038-0', '4148813-1', '4198122-4', '4112754-7']|['616.891656']|['1002861713/04']|['120791471']|['610 Medizin, Gesundheit ; 150 Psychologie']

9783825227401|['977837424']|['http://d-nb.info/977837424']|['(OColc)181526973']|[]|[]|['977837424/04']|[]|[]

9783825227326|['975454390']|['http://d-nb.info/975454390']|['(OColc)179802296']|['4011882-4', '4138738-7']|[]|['975454390/04']|[]|['340 Recht']

9783825236830|['1037940636']|['http://d-nb.info/1037940636']|['(OColc)798958840']|[]|[]|[]|['185683312']|[]

9783825233983|['1002861314']|['http://d-nb.info/1002861314']|['(OColc)699572391']|['4058274-7']|['830.9006']|['1002861314/04']|['139143262']|['830 Deutsche Literatur']

9783825228477|['980018781']|['http://d-nb.info/980018781']|['(OColc)180037118']|['4011882-4', '4020646-4', '4011882-4', '4020646-4', '4193203-1', '4120981-3']|['346.43066076']|[]|[]|['340 Recht']

962346373|['962346373']|['http://d-nb.info/962346373']|['(OColc)248362211']|['4018877-2', '4012624-9', '4116674-7', '4015875-5']|[]|['962346373/04']|['128517921']|['12 Christliche Religion']

9783825233174|['999294687']|['http://d-nb.info/999294687']|['(OColc)603982448']|['4113707-3']|['415.0182']|['999294687/04']|['130466956']|['400 Sprache, Linguistik']

3825217965|['961866535']|['http://d-nb.info/961866535']|['(OColc)76236148']|['4030720-7', '4030720-7']|[]|[]|['118064029']|['230 Theologie, Christentum ; 900 Geschichte']

9783825235949|['1012733041']|['http://d-nb.info/1012733041']|['(OColc)734088079']|['4041771-2', '4151352-6']|['225.61']|['1012733041/04']|[]|['220 Bibel']

9783825231507|['988865351']|['http://d-nb.info/988865351']|['(OColc)723908650']|['4116674-7', '4185080-4', '4066571-9', '4049415-9', '4185080-4', '4066571-9']|['230.0711']|['988865351/04']|['129630268']|['230 Theologie, Christentum ; 200 Religion, Religionsphilosophie']

9783825231804|['991839889']|['http://d-nb.info/991839889']|['(OColc)723815960']|['4003524-4', '4059758-1', '4011882-4', '4011882-4', '4059758-1', '4011882-4']|['270.7']|['991839889/04']|['12003705X']|['230 Theologie, Christentum ; 943 Geschichte Deutschlands']

9783825236267|['1018066055']|['http://d-nb.info/1018066055']|['(OColc)775709947']|['4011569-0', '4015950-4']|['222.1506']|['1018066055/04']|['115845208']|['220 Bibel']

9783825235376|['1012038564']|['http://d-nb.info/1012038564']|['(OColc)750927918']|['4038243-6', '4016216-3']|['610.14']|['1012038564/04']|['123600642']|['610 Medizin, Gesundheit']

9783825231965|['991841824']|['http://d-nb.info/991841824']|['(OColc)316581383']|['4128506-2', '4015875-5', '4036050-7', '4015833-0', '4128506-2', '4015875-5', '4036050-7', '4015833-0']|['264.04']|['991841824/04']|['120562081']|['230 Theologie, Christentum']

9783825234553|['100910859X']|['http://d-nb.info/100910859X']|['(OColc)725282706']|['4049422-6', '4123176-4']|[]|[]|['123631475']|['230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

992854938|['992854938']|['http://d-nb.info/992854938']|['(OColc)724018827']|[]|[]|['992854938/04']|[]|[]

992854830|['992854830']|['http://d-nb.info/992854830']|['(OColc)724018805']|[]|[]|['992854830/04']|[]|[]

963440780|['963440780']|['http://d-nb.info/963440780']|['(OColc)248196461']|['4041771-2', '4151352-6', '4041771-2', '4128972-9']|[]|[]|['120489929']|['12 Christliche Religion']

985846194|['985846194']|['http://d-nb.info/985846194']|['(OColc)228137617']|['4001515-4', '4001515-4', '4128644-3']|['221.6']|['985846194/04']|['12345073X']|['220 Bibel']

9783825238520|['1028259840']|['http://d-nb.info/1028259840']|['(OColc)839946629']|['4072905-9', '4035964-5']|['801.95']|['1028259840/04']|['1032961228']|['800 Literatur, Rhetorik, Literaturwissenschaft']

9783825227906|['977841707']|['http://d-nb.info/977841707']|['(OColc)181527180']|['4055970-1']|[]|['977841707/04']|['129411027']|['940 Geschichte Europas']

9783825237394|['1022529293']|['http://d-nb.info/1022529293']|['(OColc)808721932']|['4033569-0']|['303.48203']|['1022529293/04']|['11542461X']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783825225995|['97145860X']|['http://d-nb.info/97145860X']|['(OColc)181437413']|['4001515-4', '4117192-5', '4054582-9']|[]|['97145860X/04']|['130506249']|['220 Bibel']

9783825237417|['1022529315']|['http://d-nb.info/1022529315']|['(OColc)809372595']|['4023277-3', '4047704-6']|['153.8']|['1022529315/04']|['108802760']|['150 Psychologie']

9783825227388|['977870413']|['http://d-nb.info/977870413']|['(OColc)181528060']|['4011882-4', '4130688-0']|[]|['977870413/04']|['120283735']|['340 Recht']

9783825225490|['969702493']|['http://d-nb.info/969702493']|['(OColc)76636670']|['4011882-4', '4113470-9']|[]|[]|['112436498']|['340 Recht']

961603585|['961603585']|['http://d-nb.info/961603585']|['(OColc)248151482']|['4011882-4', '4115667-5']|[]|[]|['120944855']|['11 Psychologie ; 12 Christliche Religion ; 14 Soziologie, Gesellschaft']

9783825229405|['984417117']|['http://d-nb.info/984417117']|['(OColc)230194993']|['4011882-4', '4121924-7', '4131753-1', '4121924-7']|['343.430721', '343.240721']|['984417117/04']|['120316757']|['340 Recht']

9783825233198|['999294695']|['http://d-nb.info/999294695']|['(OColc)506487526']|['4113292-0', '4058779-4']|[]|['999294695/04']|['112704832']|['430 Deutsch']

9783825228576|['980019079']|['http://d-nb.info/980019079']|['(OColc)162448150']|['4011882-4', '4000464-8']|[]|['980019079/04']|['113296347']|['943 Geschichte Deutschlands ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

9783825229139|['984397299']|['http://d-nb.info/984397299']|['(OColc)246625246']|['4076830-2', '4152975-3', '4025435-5', '4152975-3', '4581486-7', '4152975-3', '4010427-8', '4379691-6', '4017102-4', '4379691-6']|[]|['984397299/04']|['132013819']|[]

9783825227180|['97517116X']|['http://d-nb.info/97517116X']|['(OColc)179887078']|['4032592-1']|[]|['97517116X/04']|[]|['650 Management']

9783825236823|['103794061X']|['http://d-nb.info/103794061X']|['(OColc)798958836']|[]|[]|[]|['185683312']|[]

9783825238568|['1028259875']|['http://d-nb.info/1028259875']|['(OColc)849759044']|['4664707-7', '4153521-2', '4378168-8']|['201.5071']|['1028259875/04']|['120653184']|['200 Religion, Religionsphilosophie ; 230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

961780622|['961780622']|['http://d-nb.info/961780622']|['(OColc)264801060']|['4045791-6']|[]|['961780622/04']|[]|['10 Philosophie ; 12 Christliche Religion']

9783825229184|['98441665X']|['http://d-nb.info/98441665X']|['(OColc)237229756']|['4015508-0']|[]|['98441665X/04']|['130438596']|['230 Theologie, Christentum']

9783825242909|['1062994299']|['http://d-nb.info/1062994299']|['(OColc)898324888', '(OColc)898078146']|['4124995-1', '4129721-0']|['153.6']|['1062994299/04']|['133800245']|['150 Psychologie ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

9783825233167|['999294679']|['http://d-nb.info/999294679']|['(OColc)587624635']|['4113292-0', '4114409-0']|['430.14']|['999294679/04']|['120288710']|['430 Deutsch']

9783825233235|['999294733']|['http://d-nb.info/999294733']|['(OColc)506487541']|['4113292-0', '4045830-1', '4113292-0', '4045836-2', '4113292-0', '4131535-2']|['431.5']|['999294733/04']|['129995460']|['430 Deutsch']

9783825227050|['97519285X']|['http://d-nb.info/97519285X']|['(OColc)181460240']|['4049396-9', '4059787-8']|[]|['97519285X/04']|[]|['200 Religion, Religionsphilosophie']

9783825236298|['1018065873']|['http://d-nb.info/1018065873']|['(OColc)781613055']|['4071045-2', '4123176-4']|['268.84']|['1018065873/04']|['1014809010']|['230 Theologie, Christentum ; 370 Erziehung, Schul- und Bildungswesen']

3825217450|['980929393']|['http://d-nb.info/980929393']|['(OColc)160067228']|['4113791-7', '4060591-7']|['882.01']|['980929393/04']|['119157950']|['880 Griechische Literatur']

9783825213367|['1037942272']|['http://d-nb.info/1037942272']|['(OColc)857991577']|[]|[]|[]|['185827314']|[]

976694247|['976694247']|['http://d-nb.info/976694247']|['(OColc)76144320']|['4037951-6']|[]|['976694247/04']|['12428566X']|['510 Mathematik ; 100 Philosophie']

990143902|['990143902']|['http://d-nb.info/990143902']|['(OColc)248669141']|['4050479-7', '4124854-5']|['808.3']|['990143902/04']|['119125358']|['800 Literatur, Rhetorik, Literaturwissenschaft']

9783825235369|['1012038556']|['http://d-nb.info/1012038556']|['(OColc)748704800']|['4018145-5']|['944.083']|['1012038556/04']|['115083057']|['940 Geschichte Europas']

9783825227852|['977841715']|['http://d-nb.info/977841715']|['(OColc)181527181']|['4011882-4', '4066399-1']|[]|['977841715/04']|['124377718']|['330 Wirtschaft']

9783825232078|['991841859']|['http://d-nb.info/991841859']|['(OColc)361920428']|['4006406-2']|[]|[]|['123631475']|['220 Bibel']

9783825236212|['1024396428']|['http://d-nb.info/1024396428']|['(OColc)808724911']|['4071042-7']|['261.8088284']|['1024396428/04']|['115607862']|['230 Theologie, Christentum ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

959274847|['959274847']|['http://d-nb.info/959274847']|['(OColc)237385438']|['4016112-2']|[]|['959274847/04']|['130477664']|['51 Allgemeine und Vergleichende Sprach- und Literaturwissenschaft']

9783825237110|['102617984X']|['http://d-nb.info/102617984X']|['(OColc)815149114']|['4113292-0', '4058779-4']|[]|['102617984X/04']|[]|['430 Deutsch']

9783825234676|['1009108727']|['http://d-nb.info/1009108727']|['(OColc)706857868']|['4078931-7']|['305.8']|['1009108727/04']|['131587234']|['300 Sozialwissenschaften, Soziologie, Anthropologie ; 390 Bräuche, Etikette, Folklore']

9783825228491|['980019494']|['http://d-nb.info/980019494']|['(OColc)180012867']|['4162679-5', '4069453-7', '4699643-6']|['657.3']|['980019494/04']|[]|['650 Management']

9783825233204|['999294709']|['http://d-nb.info/999294709']|['(OColc)506487534']|['4113292-0', '4058779-4']|[]|['999294709/04']|['129995460']|['430 Deutsch']

9783825241834|['1050613988']|['http://d-nb.info/1050613988']|['(OColc)879870284']|['4049415-9']|[]|['1050613988/04']|['115418458']|['200 Religion, Religionsphilosophie ; 100 Philosophie']

9783825228569|['980019389']|['http://d-nb.info/980019389']|['(OColc)180924335']|['4156601-4', '4017894-8']|[]|['980019389/04']|['123293529']|['300 Sozialwissenschaften, Soziologie, Anthropologie']

9783825224585|['967626498']|['http://d-nb.info/967626498']|['(OColc)248819296']|['4015602-3', '4069994-8']|[]|['967626498/04']|['118591541']|['230 Theologie, Christentum ; 100 Philosophie']

9783825231385|['988884623']|['http://d-nb.info/988884623']|['(OColc)255067179']|['4078249-9']|['241.044']|['988884623/04']|['123307333']|['230 Theologie, Christentum ; 100 Philosophie']

9783825240714|['1052649920']|['http://d-nb.info/1052649920']|['(OColc)882488635']|['118575449', '118575449', '4059758-1']|['284.1092']|['1052649920/04']|['118892886']|['230 Theologie, Christentum']

