ISBN|DNBID|DNBURI|OCLC|GND|DDC|TOC|AUTHORID|SACHGRUPPEN
9783825228880|['982450311']|['http://d-nb.info/982450311']|['(OColc)255485682']|['4300400-3', '4045660-2', '4047056-8', '4015833-0']|[]|['982450311/04']|[]|['230 Theologie, Christentum ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

9783825227517|['977889777']|['http://d-nb.info/977889777']|['(OColc)162451005']|['4139075-1']|['658.15']|['977889777/04']|['113470088']|['650 Management']

9783825221478|['103793735X']|['http://d-nb.info/103793735X']|['(OColc)699763456']|['4203806-6', '4075925-8', '4015875-5', '4054151-4', '4015833-0']|[]|[]|['12117784X']|['230 Theologie, Christentum']

9783825243715|['1071487019']|['http://d-nb.info/1071487019']|['(OColc)910333844']|[]|[]|[]|[]|['330 Wirtschaft']

9783825231019|['988863138']|['http://d-nb.info/988863138']|['(OColc)723907992']|['4072905-9', '4036031-3']|[]|['988863138/04']|[]|['800 Literatur, Rhetorik, Literaturwissenschaft']

9783825232061|['99184131X']|['http://d-nb.info/99184131X']|['(OColc)314739100']|[]|[]|['99184131X/04']|[]|[]

9783825231637|['988888823']|['http://d-nb.info/988888823']|['(OColc)255067368']|[]|[]|['988888823/04']|[]|['220 Bibel']

9783825223922|['966235401']|['http://d-nb.info/966235401']|['(OColc)76711162']|[]|[]|['966235401/04']|[]|[]

9783825228552|['980036984']|['http://d-nb.info/980036984']|['(OColc)180924622']|['4078541-5']|[]|['980036984/04']|['120225808']|['940 Geschichte Europas']

9783825225377|['969704208']|['http://d-nb.info/969704208']|['(OColc)249301551']|['4011882-4', '4125783-2', '4006566-2', '4367663-7']|[]|['969704208/04']|[]|['650 Management']

9783825229146|['984396462']|['http://d-nb.info/984396462']|['(OColc)255538101']|['4041316-0']|['943.086']|['984396462/04']|['128588853']|['943 Geschichte Deutschlands']

9783825239404|['1034834207']|['http://d-nb.info/1034834207']|['(OColc)859370612']|['4131152-8', '4036029-5']|['907.11']|['1034834207/04']|['1025267664']|['900 Geschichte']

9783825228873|['982451822']|['http://d-nb.info/982451822']|['(OColc)180718663']|['4049415-9']|['210.1']|['982451822/04']|['13058147X']|['200 Religion, Religionsphilosophie ; 100 Philosophie']

9783825238575|['1028259883']|['http://d-nb.info/1028259883']|['(OColc)859366775']|['4113791-7', '4114364-4', '4074250-7']|[]|['1028259883/04']|['109365712']|['480 Griechisch ; 470 Latein']

9783825240691|['104530932X']|['http://d-nb.info/104530932X']|['(OColc)867158078']|['4041771-2', '4059758-1']|['230.0415']|['104530932X/04']|['130378186']|['230 Theologie, Christentum ; 220 Bibel']

9783825224530|['967622700']|['http://d-nb.info/967622700']|['(OColc)76493524']|['4121333-6', '4019902-2']|[]|['967622700/04']|['118063995']|['330 Wirtschaft']

9783825234560|['1009108603']|['http://d-nb.info/1009108603']|['(OColc)701308482']|['118518534']|['284.2092']|[]|['136132324']|['230 Theologie, Christentum']

9783825231811|['991841778']|['http://d-nb.info/991841778']|['(OColc)723817600']|['4020526-5', '4202023-2', '4169187-8', '4200793-8']|['907.2']|['991841778/04']|[]|['900 Geschichte ; 370 Erziehung, Schul- und Bildungswesen']

9783825234027|['1002861357']|['http://d-nb.info/1002861357']|['(OColc)698079105']|[]|[]|['1002861357/04']|['123600642']|['610 Medizin, Gesundheit']

9783825241735|['1050613473']|['http://d-nb.info/1050613473']|['(OColc)879870039']|['4113292-0', '4046559-7', '4194747-2']|['430.141']|['1050613473/04']|['122131789']|['430 Deutsch']

9783825229061|['98244964X']|['http://d-nb.info/98244964X']|['(OColc)723647610']|['4121465-1']|['658.3124']|['98244964X/04']|['132805367']|['650 Management']

9783825225209|['969703120']|['http://d-nb.info/969703120']|['(OColc)249300441']|['4030720-7']|[]|['969703120/04']|['12348099X']|['230 Theologie, Christentum ; 940 Geschichte Europas']

959480749|['959480749']|['http://d-nb.info/959480749']|['(OColc)313748946']|['4120873-0', '4151352-6', '4120873-0', '4015950-4']|[]|['959480749/04']|['115412700']|['12 Christliche Religion ; 13 Allgemeine und Vergleichende Religionswissenschaft, Nichtchristliche Religionen']

1008032166|['1008032166']|['http://d-nb.info/1008032166']|['(OColc)680760613']|['4001515-4', '4151352-6', '4001515-4', '4015950-4', '4038971-6', '4001515-4', '4128644-3', '4001515-4', '4059758-1']|['221.6']|['1008032166/04']|[]|['220 Bibel']

9783825241636|['1050614100']|['http://d-nb.info/1050614100']|['(OColc)879870353']|['4039687-3', '4015464-6', '4159483-6', '4036032-5']|['830.71']|['1050614100/04']|[]|['830 Deutsche Literatur ; 370 Erziehung, Schul- und Bildungswesen']

3525032188|['964516357']|['http://d-nb.info/964516357']|['(OColc)50976678']|['4072905-9', '4035964-5']|[]|['964516357/04']|['120842793']|['51 Allgemeine und Vergleichende Sprach- und Literaturwissenschaft']

9783825226183|['971531277']|['http://d-nb.info/971531277']|['(OColc)237869038']|['4011882-4', '4047304-1', '16078554-6', '4214543-0']|['346.240264']|[]|[]|['340 Recht']

990967824|['990967824']|['http://d-nb.info/990967824']|['(OColc)271648340']|['4037951-6']|['511.3']|['990967824/04']|['12428566X']|['510 Mathematik ; 100 Philosophie']

9783825227944|['977989941']|['http://d-nb.info/977989941']|['(OColc)179802314']|['4011882-4', '4120585-6']|[]|[]|[]|['340 Recht']

9783825225643|['971458650']|['http://d-nb.info/971458650']|['(OColc)249214075']|['4012624-9', '4015833-0']|[]|['971458650/04']|['123109868']|['230 Theologie, Christentum']

9783825225605|['969700660']|['http://d-nb.info/969700660']|['(OColc)76636389']|['4011882-4', '4187682-9']|[]|['969700660/04']|['131338498']|['340 Recht']

9783825238209|['1038690536']|['http://d-nb.info/1038690536']|['(OColc)816167789']|['4006406-2']|[]|[]|['123631475']|['220 Bibel']

9783825226039|['971548129']|['http://d-nb.info/971548129']|['(OColc)76568921']|['4011882-4', '4117367-3']|[]|['971548129/04']|['118096370']|['340 Recht']

9783825204655|['1037938607']|['http://d-nb.info/1037938607']|['(OColc)857990687']|[]|[]|[]|['115669264']|[]

9783825226572|['973206799']|['http://d-nb.info/973206799']|['(OColc)76624026']|['4055916-6', '4139369-7', '4133161-8', '4066528-8', '4139369-7', '4133161-8']|[]|['973206799/04']|['133495205']|['370 Erziehung, Schul- und Bildungswesen ; 330 Wirtschaft ; 300 Sozialwissenschaften, Soziologie, Anthropologie']

975417991|['975417991']|['http://d-nb.info/975417991']|['(OColc)76771332']|['4059549-3']|[]|['975417991/04']|['120944855']|['150 Psychologie']

9783825225988|['971458626']|['http://d-nb.info/971458626']|['(OColc)238326254']|['4011882-4', '4046049-6']|[]|['971458626/04']|['119424754']|['230 Theologie, Christentum']

9783825232016|['991839927']|['http://d-nb.info/991839927']|['(OColc)723815991']|[]|[]|['991839927/04']|['112065120']|['100 Philosophie']

9783825233150|['999294660']|['http://d-nb.info/999294660']|['(OColc)643084447']|['4050491-8', '4035964-5', '4113292-0']|['830.9145']|['999294660/04']|['136126251']|['830 Deutsche Literatur']

99783692X|['99783692X']|['http://d-nb.info/99783692X']|['(OColc)467904658']|['4018877-2', '4012624-9', '4116674-7', '4015875-5']|['230.044']|['99783692X/04']|['128517921']|['230 Theologie, Christentum']

9783825230531|['986748145']|['http://d-nb.info/986748145']|['(OColc)254711189']|['4011882-4', '4114116-7']|['340.10943']|['986748145/04']|['108073920']|['340 Recht']

9783825226565|['973205415']|['http://d-nb.info/973205415']|['(OColc)238457928']|['4022153-2']|[]|['973205415/04']|['114389268']|['940 Geschichte Europas']

9783825241216|['1044656344']|['http://d-nb.info/1044656344']|['(OColc)865137649']|['4015602-3']|[]|['1044656344/04']|['122829700']|['100 Philosophie']

9783825226367|['973206292']|['http://d-nb.info/973206292']|['(OColc)76623983']|['4011882-4', '4114116-7']|[]|['973206292/04']|['110495489']|['340 Recht']

